,member_id,week,engagement,paused,EWS,risk_band,main_reason,reasons,action_tag,subject,message
13,004ADD26-B749-F011-877B-00224895B18A,2025-08-10,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
14,004C29AC-14D1-EF11-8EE9-6045BD3DE16F,2025-08-11,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
24,007502E3-9827-F011-8C4D-0022489639CF,2025-08-10,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
31,008591FE-12EB-EF11-9342-002248183E7D,2025-08-09,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
41,00AECC1F-6F12-F011-9989-000D3AE01541,2025-08-10,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
44,00C7C436-F83D-F011-877A-0022489639CF,2025-08-09,0,0,,Low,drought_streak,negative_momentum|drought_streak|erratic_usage,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
45,00D5B807-05E9-EF11-9342-6045BD3EBA89,2025-07-28,0,0,,Low,drought_streak,negative_momentum|drought_streak|erratic_usage,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
47,00E6B54E-9D25-F011-8C4D-00224898B724,2025-08-13,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
50,00F53A39-4908-F011-BAE3-000D3AE1830E,2025-08-12,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
54,010249D1-3760-F011-BEC2-00224895B75D,2025-08-11,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
65,014D79C9-32CE-EF11-8EE9-6045BD40F354,2025-08-11,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
79,0177812C-913A-F011-B4CB-00224891C4F6,2025-08-13,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
82,0181AC1D-2556-F011-BEC2-002248983D9B,2025-08-12,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
93,019F88CC-DD6C-F011-B4CB-000D3A6A94F2,2025-08-11,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
97,01BC4C02-2C4A-F011-877B-000D3ACC1D79,2025-08-11,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
106,01E24423-BE06-F011-BAE3-000D3AE17142,2025-08-10,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
108,01E6072B-DA10-F011-998A-000D3AE01541,2025-08-08,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
109,01FAA7C5-936E-F011-B4CB-000D3A6A94F2,2025-08-08,0,0,,Low,drought_streak,drought_streak,Reactivation,We miss you—ready for a fresh start?,We haven’t seen you lately. We’ve added a small credit and a friction-free next step. Reactivate in 1 click → {winback_link}
