,member_id,week,engagement,paused,EWS,risk_band,main_reason,reasons,action_tag,subject,message
61041,DDE059EB-A398-EE11-BE37-000D3AE1AC14,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
52859,BFF5ED64-AD7E-E511-B7BD-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
39986,910465B4-83FC-E611-9D46-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
57731,D1C00D2A-F9B5-E611-AFEA-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
67188,F4A12BBC-E596-ED11-AAD1-00224818B881,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
42686,9B1F3628-2877-F011-B4CB-000D3A6A6B29,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
67042,F415877E-ECD7-ED11-A7C7-002248183FC1,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
2871,0A80AE52-F23C-E611-803F-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
10287,2598E2AB-E287-EE11-BE36-000D3AE1ADAB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
6968,19B9B2B4-7A5A-E011-9C26-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
16436,3B75B3F7-7ECA-EC11-A7B7-002248D3B3C5,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
63920,E8A1CA56-768D-EE11-BE36-000D3AE1A496,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
16348,3B1FB8F6-1AB1-EF11-B8E8-000D3AE0E52C,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
44044,9FFFD735-E199-ED11-AAD1-00224818B881,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
3910,0E50F655-4E9E-E711-A3AF-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
50965,B958670A-89CF-EE11-9079-000D3AE1A496,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
50386,B727F87A-E696-ED11-AAD1-00224818B881,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
15354,3785DAD5-F866-EE11-9AE7-000D3AE1A260,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
45824,A6989B0C-A19B-ED11-AAD1-00224817F328,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
13719,31B9A585-79F9-EB11-94EF-00224818116F,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
35441,801AE9DD-930E-F011-9989-002248D399AA,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
5803,156B4845-8B05-E811-9513-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
6042,1651FEE5-92B9-EE11-9078-000D3AE1A915,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
24179,579A4D9B-7923-E911-A81A-000D3AE02142,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
26148,5E9A621A-E9BE-EE11-9079-000D3AE1A915,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
23728,55D9542D-A11B-EE11-8F6C-000D3AE1AEAF,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
7271,1ACF0A6B-9312-E711-8789-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
28197,66178FE0-08A8-ED11-AAD0-00224818BACA,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
24463,58863761-93B9-EE11-9078-000D3AE1A915,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
33650,79CCF6BD-C605-EF11-9F8A-000D3AE1AC14,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
24633,591CA647-BE4A-EE11-BE6F-000D3AE1A260,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
1531,0597DEE0-09D0-E811-A96E-000D3AE12CC3,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
1556,05B0E1E7-3A72-E611-87C0-0050568522BB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
1573,05C0BE62-7827-EF11-840A-6045BD3F165B,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
7748,1CAA1928-0B4E-EF11-A316-002248183E7D,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
59399,D7C39AA0-5ED4-EE11-904D-000D3AE1ADAB,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
58072,D2EEAE04-6B93-EC11-B400-0022481818E6,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
32536,75B78A7B-096B-DF11-A3B6-005056856D7D,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
69621,FD4C479E-DAF5-ED11-8849-00224817F328,2025-08-12,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
60189,DACB9C90-A8C4-EE11-9079-000D3AE1ABDE,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
7370,1B2895BE-BA7E-EF11-AC21-00224818733C,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
52172,BD8D396C-1EC6-EE11-9079-000D3AE1ABDE,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
7423,1B60908D-C332-EB11-A813-0022481469DA,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
8847,2098F3D7-8BC0-ED11-83FD-00224817FD55,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
13198,2FE48F39-DEE4-EE11-904C-0022481509E0,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
115,00692BCE-623D-EE11-BDF4-000D3AE1A16C,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
13627,3161E383-706D-E611-87C0-0050568522BB,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
21252,4D0878CA-DD7E-EF11-AC21-000D3AE1E8E4,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
24749,598FFCDF-5F2C-EF11-840A-000D3A796435,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
26394,5F8D37DF-1CDD-EB11-BACB-0022481594F1,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
28994,68FDCC02-67A6-E811-A96B-000D3AE121F5,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
29243,69EB99D6-CDCF-EB11-BACC-002248152995,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
29367,6A5570DF-5200-F011-BAE3-000D3AE1830E,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
29554,6B037503-C3ED-EB11-94EF-00224814EFBC,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
31718,72C74333-CD26-EF11-840A-000D3AE07826,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
19610,46FE36E8-F0A1-DF11-A3B7-005056856D7D,2025-08-11,0,1,,Low,paused_state,paused_state,Paused — check-in,We’ll be ready when you are,Your pause is active. Want to pick your return week now? It takes 10 seconds → {resume_link}
